ticker,parsed_expiry,parsed_strike,parsed_type,total_premium,total_size,open_interest
SPY,,709,PUT,123922.00,57,0
SPY,,710,CALL,2175312.00,6991,0
SPY,,710,PUT,690081.00,248,0
SPY,,711,CALL,67428.00,774,0
SPY,,711,PUT,70450.00,30,0
SPY,,712,CALL,46284.00,1711,0
SPY,,712,PUT,39924.00,16,0
SPY,,713,CALL,100346.00,1784,0
SPY,,713,PUT,15494.00,6,0
SPY,,714,CALL,38396.00,2373,0
SPY,,714,PUT,16096.00,6,0
SPY,,715,CALL,2369932.00,34452,0
SPY,,715,PUT,6386194.00,1397,0
SPY,,716,CALL,11688.00,174,0
SPY,,716,PUT,453272.00,159,0
SPY,,717,CALL,92284.00,1057,0
SPY,,717,PUT,61019.00,20,0
SPY,,718,CALL,67212.00,699,0
SPY,,718,PUT,36847.00,12,0
SPY,,719,CALL,46769.00,552,0
SPY,,719,PUT,3150.00,1,0
SPY,,720,CALL,1628534.00,16068,0
SPY,,720,PUT,3831106.00,1051,0
SPY,,721,CALL,10998.00,147,0
SPY,,722,CALL,1797.00,11,0
SPY,,723,CALL,488.00,5,0
SPY,,724,CALL,312.00,2,0
SPY,,725,CALL,2179719.00,3764,0
SPY,,725,PUT,551403.00,112,0
SPY,,726,CALL,2532.00,48,0
SPY,,727,CALL,1430.00,16,0
SPY,,728,CALL,6783.00,23,0
SPY,,729,CALL,214.00,2,0
SPY,,730,CALL,1612713.00,4814,0
SPY,,730,PUT,419718.00,82,0
SPY,,731,CALL,889.00,11,0
SPY,,732,CALL,1721.00,17,0
SPY,,733,CALL,4081.00,13,0
SPY,,734,CALL,3405.00,13,0
SPY,,735,CALL,369213.00,1539,0
SPY,,735,PUT,1291339.00,258,0
SPY,,736,CALL,432.00,20,0
SPY,,737,CALL,7713.00,93,0
SPY,,738,CALL,960.00,10,0
SPY,,739,CALL,8934.00,36,0
SPY,,740,CALL,1732706.00,4820,0
SPY,,740,PUT,57521652.00,10631,0
SPY,,741,CALL,32.00,2,0
SPY,,745,CALL,581312.00,1066,0
SPY,,745,PUT,11777925.00,2020,0
SPY,,746,CALL,48284.00,279,0
SPY,,747,CALL,12.00,1,0
SPY,,749,CALL,5374.00,37,0
SPY,,750,CALL,1799423.00,5353,0
SPY,,750,PUT,1438989.00,202,0
SPY,,755,CALL,207113.00,532,0
SPY,,755,PUT,49984.00,7,0
SPY,,760,CALL,175970.00,5242,0
SPY,,760,PUT,187567.00,25,0
SPY,,765,CALL,580913.00,1918,0
SPY,,765,PUT,7966.00,1,0
SPY,,770,CALL,232669.00,673,0
SPY,,770,PUT,33190.00,4,0
SPY,,775,CALL,69683.00,192,0
SPY,,775,PUT,9732.00,1,0
SPY,,780,CALL,140789.00,304,0
SPY,,780,PUT,18449.00,2,0
SPY,,785,CALL,22687.00,36,0
SPY,,785,PUT,10769.00,1,0
SPY,,790,CALL,45195.00,548,0
SPY,,790,PUT,20616.00,2,0
SPY,,795,CALL,5611.00,14,0
SPY,,800,CALL,4550142.00,13175,0
SPY,,800,PUT,68567.00,6,0
SPY,,805,CALL,270701.00,384,0
SPY,,810,CALL,92770.00,304,0
SPY,,815,CALL,3049.00,15,0
SPY,,815,PUT,12850.00,1,0
SPY,,820,CALL,6610.00,28,0
SPY,,820,PUT,13228.00,1,0
SPY,,825,CALL,9825.00,47,0
SPY,,830,CALL,9929.00,33,0
SPY,,835,CALL,1667.00,6,0
SPY,,840,CALL,4591.00,1174,0
SPY,,845,CALL,4126.00,10,0
SPY,,845,PUT,15788.00,1,0
SPY,,850,CALL,7219572.00,5319,0
SPY,,850,PUT,32335.00,2,0
SPY,,855,CALL,2449.00,24,0
SPY,,860,CALL,5656.00,46,0
SPY,,865,CALL,4560.00,94,0
SPY,,870,CALL,24020.00,1180,0
SPY,,875,CALL,1902.00,20,0
SPY,,880,CALL,671.00,3,0
SPY,,885,CALL,225.00,2,0
SPY,,890,CALL,270.00,2,0
SPY,,895,CALL,9707.00,34,0
SPY,,900,CALL,81774.00,688,0
SPY,,905,CALL,4809.00,17,0
SPY,,910,CALL,384.00,3,0
SPY,,915,CALL,4356.00,6,0
SPY,,925,CALL,6250.00,9,0
SPY,,925,PUT,23678.00,1,0
SPY,,930,CALL,1179.00,12,0
SPY,,935,PUT,49483.00,2,0
SPY,,940,CALL,984.00,1,0
SPY,,945,CALL,1856.00,2,0
SPY,,950,CALL,919.00,5,0
SPY,,960,CALL,119.00,2,0
SPY,,965,CALL,1440.00,20,0
SPY,,970,CALL,69.00,1,0
SPY,,975,CALL,3631.00,6,0
SPY,,980,CALL,29.00,1,0
SPY,,990,CALL,1904.00,7,0
SPY,,995,CALL,230.00,5,0
SPY,,1000,CALL,166652.00,622,0
SPY,,1010,CALL,972.00,52,0
SPY,,1025,CALL,210.00,1,0
SPY,,1030,CALL,104.00,8,0
SPY,,1060,CALL,440.00,40,0
SPY,,1100,CALL,3800.00,21,0
SPY,,1170,CALL,1588.00,17,0
SPY,,1180,CALL,550.00,10,0
SPY,,1190,CALL,255.00,5,0
SPY,,1200,CALL,150.00,3,0
SPY,,1220,CALL,22.00,2,0
SPY,,1250,CALL,39.00,2,0
SPY,,1260,CALL,30.00,1,0
SPY,,1270,CALL,29.00,1,0
SPY,,1300,CALL,3775.00,75,0
SPY,,1310,CALL,45.00,1,0
SPY,,1320,CALL,19.00,1,0
SPY,,1330,CALL,144.00,26,0
SPY,,1340,CALL,134.00,6,0
SPY,,1350,CALL,522.00,14,0
SPY,,1360,CALL,572.00,17,0
